Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
ABILENE CHRISTIAN UNIV	TXC	TX	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ABILENE PUB LIBR	TXB	TX	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
ADELPHI UNIV	VJA	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
AIR UNIV LIBR	AAU	AL	Federal/Natl Government	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ALACHUA CNTY LIBR DIST	FMG	FL	Public	3	3	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ALASKA STATE LIBR	ALK	AK	State Library	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
ALBANY PUB LIBR	ABY	OR	Public	8	8	0	0	0	0	8	0	0	0:00:00	0:00:00	0:00:00
ALBUQUERQUE BERNALILLO CNTY LIBR	QUE	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALMA COLL LIBR	EZA	MI	Academic	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00
ALSIP-MERRIONETTE PARK PUB LIBR	JCF	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALTADENA LIBR DIST	ALD	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ALTOONA AREA PUB LIBR	AOP	PA	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
AMERICAN UNIV	EAU	DC	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
AMERICAN UNIV WASHINGTON COLL OF LAW	WCL	DC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
AMES PUB LIBR	UIB	IA	Public	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
AMHERST COL	AMH	MA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANGELO STATE UNIV	ANG	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANNISTON-CALHOUN CNTY PUB LIBR	ACCPL	AL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ANTELOPE VAL COL LIBR	AUV	CA	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
ANYTHINK	BYV	CO	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
APACHE CNTY LIBR DIST	FV6	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
APPALACHIAN SCH OF LAW LIBR	A2Q	VA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
APPALACHIAN STATE UNIV	NJB	NC	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
ARAPAHOE LIBR DIST	CO2	CO	Public	5	4	0	1	1	0	4	0	0	4:00:00	4:00:00	0:00:00
ARCADIA PUB LIBR	CGB	CA	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
ARKANSAS RIVER VAL REG LIBR	AVR	AR	Public	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
ARKANSAS STATE UNIV BEEBE	AS4	AR	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
ARLINGTON HEIGHTS MEM LIBR	JBL	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ARTHUR JOHNSON MEM LIBR	AJM	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ASOTIN CNTY LIBR	XYT	WA	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
AUGSBURG UNIV LINDELL LIBR	MNA	MN	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
AUSTIN PEAY STATE UNIV	TPA	TN	Academic	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
B.F. JONES MEM LIBR	BFJ	PA	Public	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
BALDWIN CNTY LIBR COOP	AL5CW	AL	Public	2	2	0	2	2	0	0	0	0	4:00:00	4:00:00	0:00:00
BALL STATE UNIV LIBR	IBS	IN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BALTIMORE CNTY PUB LIBR	B@L	MD	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
BARTHOLOMEW CNTY PUB LIBR	INB	IN	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
BARTON COL	NQZ	NC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BASTROP PUB LIBR	T3L	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BAXTER CNTY LIBR	BXT	AR	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BAYLOR UNIV	IYU	TX	Academic	6	6	0	4	4	0	2	0	0	0:18:00	0:18:00	0:00:00
BELLEVUE PUB LIBR	BLL	NE	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BELLINGHAM PUB LIBR	BLP	WA	Public	22	22	0	16	16	0	8	0	0	2:04:34	2:04:34	0:00:00
"BELLINGHAM TECH COL, INFO TECH RES CTR"	B2T	WA	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
BENEDICTINE UNIV LIBR	ICG	IL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BENNINGTON COL	BNT	VT	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BEREA COL	KBE	KY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BERKLEE COLL OF MUSIC LIBR	BKC	MA	Academic	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
BEVERLY HILLS PUB LIBR	BHP	CA	Public	1	1	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
BICENTENNIAL LIBR OF COLSTRIP	YPK	MT	Public	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
BIG BEND COMMUN COL LIBR	Z$3	WA	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
BIG HORN CNTY LIBR	W8B	WY	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
BIG HORN CNTY PUB LIBR	YFY	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BIRMINGHAM-JEFFERSON PUB LIBR	ABJ	AL	Public	3	3	0	2	2	0	1	0	0	2:00:00	2:00:00	0:00:00
BLUE MOUNTAIN COMMUN COL LIBR	BMT	OR	Academic	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
BLUE RIDGE REG LIBR	VMA	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BLUFFTON UNIV	BLC	OH	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
BOB JONES UNIV	SGB	SC	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
BOISE PUB LIBR	OEK	ID	Public	3	3	0	3	3	0	1	0	0	2:00:00	2:00:00	0:00:00
BOSTON PUB LIBR	BRL	MA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BOWDOIN COL	BBH	ME	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
BOZEMAN PUB LIBR	MZG	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BRAZORIA CNTY LIBR SYST	T7B	TX	Public	2	2	0	1	1	0	1	0	0	5:00:00	5:00:00	0:00:00
BRIGHAM YOUNG UNIV IDAHO	RIC	ID	Academic	8	8	0	1	1	0	7	0	0	0:00:00	0:00:00	0:00:00
BROADWATER SCH & COM LIBR	YYK	MT	Public	8	8	0	5	5	0	3	0	0	1:14:24	1:14:24	0:00:00
BROOKLYN PUB LIBR	BKL	NY	Public	0	0	0	1	1	0	0	0	0	8:00:00	8:00:00	0:00:00
BRYN MAWR COL	BMC	PA	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
BUCKS CNTY FREE LIBR	DPB	PA	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
BUFFALO & ERIE CNTY PUB LIBR	VHB	NY	Public	3	3	0	3	3	0	1	0	0	3:00:00	3:00:00	0:00:00
BURLINGTON PUB LIBR	BUP	IA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
BUTTE CNTY LIBR	JQI	CA	Public	2	2	0	1	1	0	1	0	0	4:00:00	4:00:00	0:00:00
BUTTE-SILVER BOW PUB LIBR	MZE	MT	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
CAL POLY HUMBOLDT	CHU	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CALDWELL PUB LIBR	ZFR	ID	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
CALIFORNIA INST OF THE ARTS LIBR	CIA	CA	Academic	0	0	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV FULLERTON	CFI	CA	Academic	4	4	0	2	2	0	2	0	0	0:12:00	0:12:00	0:00:00
CALIFORNIA STATE UNIV NORTHRIDGE	CNO	CA	Academic	3	3	0	2	2	0	1	0	0	4:00:00	4:00:00	0:00:00
CALIFORNIA STATE UNIV SAN BERNARDINO LI	CSB	CA	Academic	1	1	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
CALIFORNIA STATE UNIV-E BAY LIBR	CSH	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV-LONG BEACH LIBR	CLO	CA	Academic	6	6	0	3	3	0	3	0	0	2:00:00	2:00:00	0:00:00
CALIFORNIA STATE UNIV-SACRAMENTO LIBR	CSA	CA	Academic	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
CAMAS PUB LIBR	Z#6	WA	Public	8	8	0	5	5	0	3	0	0	1:04:48	1:04:48	0:00:00
CAMP VERDE COMMUN LIBR	ZE5	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CAMPBELL CNTY PUB LIBR	WYG	WY	Public	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
CAPITAL UNIV	CAU	OH	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CAROL STREAM PUB LIBR	JST	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CARROLL CNTY PUB LIBR	CKW	MD	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CARROLL COLL	MTC	MT	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
CARSON CITY PUB LIBR	NVX	NV	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
CASPER COL LIBR	CWY	WY	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
CEDAR PARK PUB LIBR	XZ7	TX	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
CEDARVILLE UNIV	CDC	OH	Academic	2	2	0	1	1	0	1	0	0	2:00:00	2:00:00	0:00:00
CENTRAL ARKANSAS LIBR SYST	AKD	AR	Public	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00
CENTRAL CONNECTICUT STATE UNIV	CTB	CT	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
CENTRAL MICHIGAN UNIV	EZC	MI	Academic	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
CENTRAL OREGON COMMUN COL LIBR	CEO	OR	Academic	4	4	0	5	5	0	0	0	0	2:04:48	2:04:48	0:00:00
CENTRAL WASHINGTON UNIV LIBR	CWU	WA	Academic	6	6	0	5	5	0	1	0	0	0:04:48	0:04:48	0:00:00
CENTRALIA PUB LIBR	YX7	MO	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CERRITOS PUB LIBR	CER	CA	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
CHAPMAN UNIV	CCX	CA	Academic	4	4	1	2	2	0	2	0	0	1:00:00	1:00:00	0:00:00
CHARLOTTE MECKLENBURG LIBR	NPC	NC	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
CHEMEKETA COMMUN COL	CHK	OR	"Junior, Community, Technical Colleges"	3	3	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
CHEMEKETA COOP REG LIBR SERV	CHY	OR	Corporate	15	15	0	5	5	0	15	0	0	7:04:48	7:04:48	0:00:00
CHERRY VAL PUB LIBR DIST	JX9	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CHICAGO PUB LIBR	CGP	IL	Public	3	3	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
CHRISTENDOM COLL	PYY	VA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CHRISTIAN CNTY LIBR	MO3	MO	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CITY OF COOS BAY-ESO	BAY	OR	Public	11	11	0	3	3	0	5	0	0	1:07:55	1:07:55	0:00:00
CLACKAMAS COMMUN COL LIBR	CCK	OR	"Junior, Community, Technical Colleges"	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CLARKSON UNIV LIBR	VYT	NY	Academic	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
CLATSOP COMMUN COL LIBR	CLK	OR	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
CLOVIS CARVER PUB LIBR	CVC	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COAL CITY PUB LIBR DIST	OF9	IL	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00
COASTAL CAROLINA UNIV	ZKJ	SC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COCHISE CNTY LIBR DIST	BAZ	AZ	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COEUR D'ALENE PUB LIBR	ZVR	ID	Public	10	10	0	4	4	0	6	0	0	0:00:00	0:00:00	0:00:00
COLLEGE OF DUPAGE LIBR	IBI	IL	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
COLLEGE OF SAN MATEO LIBR	CMT	CA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COLLEGE OF SOUTHERN IDAHO LIBR	Y#6	ID	Academic	3	3	0	2	2	0	1	0	0	0:00:00	0:00:00	0:00:00
COLLEGE OF THE HOLY CROSS	HCD	MA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COLLEGE OF WESTERN IDAHO	IDCWI	ID	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COLORADO MESA UNIV	COM	CO	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
COLUMBIA CNTY RURAL LIBR	WACCR	WA	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
COLUMBIA COLL CHICAGO LIBR	IBZ	IL	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COLUMBUS METROP LIBR	OCO	OH	Public	4	4	0	1	1	0	3	0	0	6:00:00	6:00:00	0:00:00
COLUSA CNTY FREE LIBR	CUP	CA	Public	1	1	0	1	1	0	0	0	0	2:00:00	2:00:00	0:00:00
COMMERCE PUB LIBR	CCZ	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COMMUNITY COLLEGES OF SPOKANE	BV1	WA	Academic	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
COMMUNITY LIBR NETWORK	K#T	ID	Public	21	21	1	5	5	0	15	0	0	0:00:00	0:00:00	0:00:00
COMMUNITY LIBR NETWORK@POST FALLS	P9F	ID	Public	8	8	0	7	7	0	2	0	0	0:17:02	0:17:02	0:00:00
"COMMUNITY LIBR, THE"	Y$5	ID	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CONRAD PUB LIBR	YUX	MT	Public	3	3	0	1	1	0	1	0	0	5:00:00	5:00:00	0:00:00
CONVERSE CNTY LIBR	W6V	WY	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COOK MEM PUB LIBR DIST	JBI	IL	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
CORBAN UNIV LIBR	OOY	OR	Academic	4	4	0	2	2	0	2	0	0	0:12:00	0:12:00	0:00:00
CORNERSTONE UNIV	EXB	MI	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
CORONADO PUB LIBR	CNP	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COSUMNES RIVER COL	CCR	CA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
COTTEY COL LIBR	CCF	MO	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
COUNCIL BLUFFS PUB LIBR	IWB	IA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
COUNTY OF LOS ANGELES PUB LIBR	JQW	CA	Public	6	6	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
CRAWFORD CNTY LIBR SYST	C#L	AR	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
CROOK CNTY LIBR	CCLIB	OR	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
CUNY BROOKLYN COLL LIBR	VDB	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DALLAS COLL	TDJ	TX	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DALLAS PUB LIBR	IGA	TX	Public	7	7	0	1	1	0	6	0	0	5:00:00	5:00:00	0:00:00
DANIEL BOONE REG LIBR	ZAB	MO	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DANVILLE PUB LIBR	JPI	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DAUGHERTY PUB LIBR DIST	JN9	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DAVIDSON COL	NNM	NC	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DAVIESS CNTY LIBR	MQW	MO	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DAVIESS CNTY PUB LIBR	KOD	KY	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
DAVIS CNTY LIBR	UTD	UT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DEL MAR COLL	CDM	TX	Academic	3	3	0	1	1	0	2	0	0	0:00:00	0:00:00	0:00:00
DELAWARE CNTY DIST LIBR	ODG	OH	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DELAWARE CNTY LIBR SYST	DEL	PA	Public	2	2	0	2	2	0	0	0	0	3:12:00	3:12:00	0:00:00
DELTA STATE UNIV	MCD	MS	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DENISON UNIV	DNU	OH	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
DENTON PUB LIBR	QS3	TX	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
DENVER PUB LIBR	DPL	CO	Public	7	7	0	4	4	0	3	0	0	5:00:00	5:00:00	0:00:00
DES MOINES AREA COMMUN COL	JID	IA	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
DES MOINES PUB LIBR	IOU	IA	Public	3	3	0	1	1	0	2	0	0	1:00:00	1:00:00	0:00:00
DESCHUTES PUB LIBR	DCH	OR	Public	22	22	0	9	9	0	13	0	0	0:05:17	0:05:17	0:00:00
DILLON CITY LIBR	YZV	MT	Public	2	2	0	1	1	0	1	0	0	4:00:00	4:00:00	0:00:00
DORDT UNIV	IOT	IA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
DOUGLAS CNTY LIBRS	DAD	CO	Public	3	3	0	1	1	0	1	0	0	4:00:00	4:00:00	0:00:00
DRAKE UNIV	IOD	IA	Academic	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
DUNKLIN CNTY LIBR	MJ5	MO	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
DUQUESNE UNIV	DUQ	PA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EAGLE PUB LIBR	E9G	ID	Public	3	3	0	2	2	0	1	0	0	6:00:00	6:00:00	0:00:00
EAST BATON ROUGE PARISH LIBR	LEB	LA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EAST BONNER CNTY LIBR	E4B	ID	Public	5	5	0	0	0	0	5	0	0	0:00:00	0:00:00	0:00:00
EAST CAROLINA UNIV	ERE	NC	Academic	3	3	0	1	1	0	2	0	0	0:00:00	0:00:00	0:00:00
EAST CENT UNIV LINSCHEID LIBR	ECO	OK	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EAST TENNESSEE STATE UNIV	TET	TN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EASTERN ILLINOIS UNIV	IAD	IL	Academic	3	3	0	0	0	0	3	0	0	0:00:00	0:00:00	0:00:00
EASTERN NEW MEXICO UNIV MAIN CAM	IPU	NM	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
EASTERN OKLAHOMA DIST LIBR	OEA	OK	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
EASTERN OREGON UNIV LIBR	EOS	OR	Academic	8	8	0	8	8	0	0	0	0	1:00:00	1:00:00	0:00:00
EASTERN WASHINGTON UNIV	WEA	WA	Academic	24	24	0	20	20	0	5	0	0	0:01:12	0:01:12	0:00:00
EDMONDS COMMUN COL LIBR	Z24	WA	Academic	0	0	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EL PASO COMMUN COL	TXE	TX	"Junior, Community, Technical Colleges"	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ELKHART PUB LIBR	IEB	IN	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
ELMHURST PUB LIBR	JBU	IL	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
EMBRY-RIDDLE AERONAUTICAL UNIV DAYTONA	FER	FL	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
EMMAUS BIBLE COL LIBR	E9B	IA	Academic	2	2	0	2	2	0	0	0	0	0:12:00	0:12:00	0:00:00
EMMETT PUB LIBR	EMMET	ID	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EMORY & HENRY COL	VEH	VA	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EMPORIA PUB LIBR	EP2	KS	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EMPORIA STATE UNIV	KKR	KS	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EVANGEL UNIV LIBR	MOE	MO	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
EVANSVILLE VANDERBURGH PUB LIBR	IEP	IN	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
EVERETT PUB LIBR	UAI	WA	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
FAIRBANKS N STAR BOROUGH LIBR	X#4	AK	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
FAIRFAX CNTY PUB LIBR	AXH	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
FARMINGTON PUB LIBR	FAR	NM	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
FERRIS STATE UNIV	EZF	MI	Academic	0	0	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
FINGER LAKES LIBR SYST	VYG	NY	Public	3	3	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
FIRST DIV MUS AT CANTIGNY	KAL	IL	Association/Foundation	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00
FLAGLER COLL ST AUGUSTINE	FFC	FL	Academic	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00
"FLAGSTAFF CITY, COCONINO CNTY LIBR"	AZH	AZ	Public	5	5	0	3	3	0	2	0	0	1:00:00	1:00:00	0:00:00
FLORIDA ATLANTIC UNIV	FGM	FL	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
FONTBONNE UNIV	MOF	MO	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
FORT BEND CNTY LIBRS	FTX	TX	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
FORT LEWIS COL	CDF	CO	Academic	3	3	0	3	3	0	0	0	0	0:07:55	0:07:55	0:00:00
"FORT PECK COMMUN COL, TRIBAL LIBR"	YNQ	MT	"Junior, Community, Technical Colleges"	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
FORT VANCOUVER REG LIBR	YEP	WA	Public	23	23	0	7	7	0	16	0	0	5:03:22	5:03:22	0:00:00
FORT WORTH PUB LIBR	IFA	TX	Public	6	6	0	2	2	0	4	0	0	1:12:00	1:12:00	0:00:00
FRANKLIN PARK PUB LIBR DIST	JZD	IL	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
"FREED HARDEMAN UNIV, LODEN-DANIEL LIBR"	UWT	TN	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
FREMONT PUB LIBR DIST	GL4	IL	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
FRENCHTOWN SCH DIST	FNF	MT	Schools Below College Level	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
FULLERTON PUB LIBR	FUP	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
GAIL BORDEN PUB LIBR DIST	IF9	IL	Public	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00
GARDEN CITY LIBR	ZRQ	ID	Public	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
